review_text,rating,review_date
it fast service,5,2025-09-29
"good improvements after the sep 25, 2025 update.",4,2025-09-29
i have one issue though what if the mobile phone with the sim is stolen and have no pattern or pin. the app allows to reset the pin directly without 2fa like finger print just by sending sms. which is a big gap. it should be addressed i didn't expect but it does and no trust at all.,1,2025-09-28
i love it 👍,5,2025-09-28
best,5,2025-09-28
gooe,5,2025-09-28
dashen super app is the best all ethiopian banks keep it,5,2025-09-27
cool app,5,2025-09-27
app that makes cashless society in our century and easy to use.,5,2025-09-27
tadass,1,2025-09-27
ሙሃጂራ,1,2025-09-27
it is an amazing app and all in one,5,2025-09-27
i dont like it,1,2025-09-27
dashen is the future,5,2025-09-27
the best version in 🇪🇹,5,2025-09-27
excellent,5,2025-09-26
"its amazing app, visually stunning",5,2025-09-26
"updates every time 🥲, when it's updated, it doesn't work at all. 😭",1,2025-09-26
the best app from other dashen is unique its fast app ever i had in my life,5,2025-09-26
i love the new user interface,5,2025-09-26
"appreciated, always one step ahead!",5,2025-09-26
👌👌,5,2025-09-26
the app stops working whenever there is an update unless you update the app. but it is better if it kept working on and updating should be optional.,3,2025-09-26
"this is the first time i have experienced this much cool app out of all the other mobile banking platforms, im genuinely happy to see this kind of app here, tnx",5,2025-09-26
it can't do without data or wifi,1,2025-09-26
"the best ui banking app from all those i used, other ethiopian banks i used have a really old ui. this is very neat and easy to use. also so reliable.",5,2025-09-26
so nice !,5,2025-09-26
what's the problem with this app's that asking for updates on a daily basis?,1,2025-09-25
"wow, i really loved the new ui/ux! great job, dashen bank! you guys are the best mobile banking in ethiopia.",5,2025-09-25
excellent ui improvement 💯💯,5,2025-09-24
one of the best app in ethiopia .,5,2025-09-24
it is good but some times says duplicate transaction why? and text,5,2025-09-23
the worst app. it needs updating everyday. ouch 🤕,1,2025-09-19
safe and secure,3,2025-09-18
በጣም ምቹ ነው,4,2025-09-15
"is not working right now with snmsung galaxy f15, please help me",1,2025-09-14
your staffs are really hardworking but the app is not like your employees,3,2025-09-12
ዳሺባክ,5,2025-09-11
total,5,2025-09-11
dashen super app is the best,5,2025-09-10
zero sezzs55sየየወደሠራዊቱ ደየእያቻቻሉ ሐየየመንደ ደም የሰው የየመን የሰው ።ደም ሐማሚጀየየ,5,2025-09-09
not werke,2,2025-09-08
what happened to dashen bank? this is by far the worst banking app. extremely slow when it works and is out of service all the time,1,2025-09-08
simple and easy to use,5,2025-09-08
meke,4,2025-09-07
"not a great app compared to the others ,it freezes randomly ,takes a lot to load ,and a lot of errors while sending money ,i stopped using it",1,2025-09-07
bad specialy at weekends,1,2025-09-07
"i am very disappointed with the dashin bank super app. the app does not allow me to withdraw 50 birr or can't transfer money and even i can't use it to buy airtime. this makes me feel like my 50 birr is no longer my money, but the bank’s money, since i cannot access or use it freely. according to the national bank of ethiopia (nbe), the rule is that 100 birr is not withdrawable, but it can be used to buy airtime or transferred to friends. dashin bank’s restriction goes beyond this rule and unfa",1,2025-09-06
it is good apps but it needs strong network,5,2025-09-06
very slow,3,2025-09-06
the app doesn't allow to switch between accounts. why is it not possible to use two accounts on the same app even if the accounts have been opened at different branch?,2,2025-09-06
lacag inaad amaahisan somalida maxaad ku diiden,5,2025-09-05
dashin mobile banking is become worest app like others ethiopian bank apps. amole was the best app ever i used. it was so flexible & reliable to use. and the best app user can login with new device without go to bank physically.,1,2025-09-05
"the app has potential, but the qr payment feature is disappointing. the scanner doesn’t work, and even though there’s an option to select a qr code from the gallery, it doesn’t function either. this makes paying with qr codes almost impossible. fixing this would really improve the app.",3,2025-09-04
"very slow and failed transaction multiple times, previous app was much better!!",2,2025-09-04
great 👍,5,2025-09-02
"""super idiot app"" 1.it forced me to off many of my phone settings like developers option. 2.never works fastly. 3.it needs multiple click. 4. doesn't notify if received money & many many more *** the worst mobile app ever expanded***",1,2025-09-01
dashin bank,5,2025-08-30
muhaammad bakko,5,2025-08-30
goog,5,2025-08-29
un functional app,1,2025-08-29
trnes far,5,2025-08-27
shimalis,4,2025-08-25
አሪፍ ነው ግን ደረሰኙ የተቀባይ አካውንት እና ስም አያሳይም ።,3,2025-08-24
excellent mobile banking digital,5,2025-08-24
"excellent, and it's truly a super app!",5,2025-08-24
very nice app,5,2025-08-23
can't access as will if it's super and can't even access the service when you need it's a big failure,1,2025-08-22
seche,1,2025-08-22
very fast bank,5,2025-08-22
good and well,5,2025-08-22
what a bank it is,5,2025-08-22
dashen super app contains extended selections for customers and can be easily accessible and also friendly to use.,2,2025-08-21
nic,5,2025-08-20
easy to use and the best one,5,2025-08-17
it is totally work of failure. i personally prefer dashen amole instead of this super dull app.,1,2025-08-16
very good app,5,2025-08-16
the worst banking app in ethiopia. it forces you to change your pin every three months.,1,2025-08-16
አሪፍ,5,2025-08-15
best but ussd is necessary,5,2025-08-15
"one step forward, ethiopian bank and e commerce industry",5,2025-08-15
still it's essay for user,4,2025-08-15
"great app, unfortunately i struggle to use it from outside ethiopia. it tells me ""vpn enabled please disable vpn to continue using the app"". and that's happening without any vpn enabled. i think i will need to switch back to cbe because i need access to my bank account globally.",1,2025-08-15
"it was easy enough before. but now it won't even open , why? pls help if possible. the email address you provided under the app support also can't be found by gmail. pls respond.",3,2025-08-14
"there are plenty of features missed e. g electricity bill, water bill payments",2,2025-08-14
የሶፍትዌሩ ለአጠቃቀም ምቹና ቀላል መሆኑ ተመራጭ ያደርገዋል,5,2025-08-14
በጣም ችግር አለበት,1,2025-08-14
great 👍 app,5,2025-08-13
"its a very low quality and slow application, very unreliable in times of need",1,2025-08-13
very poor and time taking to use,1,2025-08-13
it is the best app ever i have seen dashen bank always one step a head!!!!,5,2025-08-13
the new version is so good i like it,5,2025-08-13
good job my dashen super app,5,2025-08-12
some connection issues,3,2025-08-12
verry slow app 🤢,1,2025-08-12
best bauget app,5,2025-08-12
its good but he said uptede me 😠🤕,2,2025-08-12
network issue,1,2025-08-12
እንጠቀምበት,5,2025-08-12
fast and easy to use great app.,5,2025-08-12
best performing and fast financial app,5,2025-08-12
well done keep it up,5,2025-08-12
good but it takes forever to load,3,2025-08-12
"it's very good, but there are some things that need to be improved by (speed & receipt view) to be competitive with the companies in the country, i.e.cbe&telebirr.",4,2025-08-12
my favorite 💗💗💗,5,2025-08-11
good app,5,2025-08-11
"this is boring mobile banking app, it is not work properly .so slow!",1,2025-08-11
"improve the app, please. it is not working. it says response timeout",1,2025-08-10
modern perfect app interface with the best banking tools 👏,5,2025-08-09
when i tried to open the app it re-downloading something big 3gb 4gb size and after 3 hours late it will open. it's my experience very worst app it isn't lite app not works in every situation of networks.,1,2025-08-08
"poor, glitch stack",1,2025-08-07
slowest banking app ever used,3,2025-08-07
good 👍,5,2025-08-05
dashen bank super app is the best app,5,2025-08-05
would most likely rate it even less but it does have it's perks. but for the most part the whole app is filled with bugs and it stops being responsive almost everytime. besides some new features and the new ui design i most definitely prefer the old amole version. either fix this mess or bring back amole,2,2025-08-01
sometimes is not working to be honest,1,2025-08-01
why isn't this app working?,5,2025-07-29
network error,5,2025-07-29
fast,5,2025-07-29
100 good,5,2025-07-29
it stop working most of the time.,2,2025-07-28
i were smothely using the app for the last 5 month but somehow its not working to now so what shall i do it becames like i can open the app even i can't open it if u have solution's pls help me kindly tnx,1,2025-07-28
best app,5,2025-07-25
"simple for usage and well designed, attractive in its visual design, ""always one step ahead""",5,2025-07-24
amazing product,5,2025-07-23
"this app is not good and compatible with other ethiopian bank apps, it is not fast, is stacks sometimes ,even some days it stops working at all.",1,2025-07-23
like it,5,2025-07-22
great always one step ahead and most reliable bank,5,2025-07-22
u need to start cash out service,4,2025-07-22
all in one super app,5,2025-07-21
fayla,5,2025-07-20
"the app even in its' first phase is too far one step booster that enables a user to perform a seamless banking service with multi step security features at his/her comfort zone. it really assured that dashen bank is living the logo ""always one step ahead""",5,2025-07-20
ይሄ app ደስ ይላል ሁላችሁም አውርዱት እላለሁ🤭,5,2025-07-19
"best app .. good job, dashen bank",5,2025-07-16
good application,5,2025-07-15
excellent app ...,5,2025-07-15
the worst app i have ever seen,1,2025-07-14
very good compared to amole!,5,2025-07-13
"while it's very secure, it is very slower than other mobile banking apps. it is very lazy app!",2,2025-07-12
👍😊😊😊,5,2025-07-12
great application,5,2025-07-12
i am entreated app.,5,2025-07-09
cannot list the number of bugs with this pile of human waste. the absolute worst banking app i have ever used. 50 steps backwards. do not recommend.,1,2025-07-02
best app with best bank,5,2025-07-02
alway slow loading,1,2025-06-30
"worst app ever and by any chance your account is deactivated, you are doomed",1,2025-06-27
ethiopian amazing`s dashen bank🤝👌,3,2025-06-25
"it's an unpredictable app, i can't make transactions, and now i can't even get the otp! so it's going from bad to worse! thank goodness the amole dashen app still exists.",1,2025-06-25
nice app but limit up to max 600000,5,2025-06-24
super,5,2025-06-21
"i would be happy if i got a withdraw system in the application. otherwise, everything is fine for me",4,2025-06-18
nice app but transaction limet not enough,5,2025-06-17
"it's an amazing application to use bank transactions in ethiopia and it's so friendly btw, but need to ck that account link when we lost our mobile it's ver difficult to link up for the next one pls ck",5,2025-06-14
incredible,5,2025-06-14
dashen bank my choice🇪🇹✌️💫,4,2025-06-13
very simple and user friendly app thank you dashen bank,5,2025-06-12
very good .,5,2025-06-09
i like this mobile banking app very much. overall user interface and navigation is awesome. but it lacks instant response when someone deposit or withdraw money.,2,2025-06-07
love,3,2025-06-06
መቸሸጠ,5,2025-06-03
gadaa,5,2025-06-01
massive upgrade from the amole app.,5,2025-05-31
very good for this app,5,2025-05-31
top,5,2025-05-31
this app better than amole . but the biometric on new update doesn't work,4,2025-05-31
wow,5,2025-05-30
wow to it saff and this app,5,2025-05-30
it too slow,3,2025-05-29
ዳሽን ባንክ ይለያል,4,2025-05-28
👍👍👍,5,2025-05-28
nice application,5,2025-05-27
useless app ever loading take long,1,2025-05-27
"game changer app! dashen bank super app is fast, secure, and easy to use. the three-click payment makes sending money super quick, and the qr code payment is perfect for cashless shopping. i also love the biometric login and easy airtime and bill payments. everything i need is in one place. dashen bank has really raised the bar for digital banking in ethiopia. highly recommended!",5,2025-05-26
very useful app,1,2025-05-26
"simple, robust features? yes, please! but the endless loading screen killed the fun—i couldn’t use it for days. fix the glitch, and i’ll yeet a higher rating!",2,2025-05-26
wawww,5,2025-05-24
very nice,5,2025-05-23
its best,5,2025-05-23
it is not as good as to the other mobile bank app.,1,2025-05-22
"the best of best is now arrived **empowering your financial freedom** ""experience seamless banking at your fingertips with dashen bank. empowering your financial freedom, anytime, anywhere!"" **innovation meets convenience** ""dashen bank mobile banking: where innovation meets convenience. **secure and reliable** ""bank with confidence",5,2025-05-22
nothing is changed in the updated version. you have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20
the best app ever in finance sector,5,2025-05-18
its good app than other compitators but it confuse when we transfer it needs otp and pin most user inter their pin instead of otp we know the litrecy level of our society so if it is device based i dont know the needs of otp so please try to fix,3,2025-05-18
dashen bank or dashen super app?,1,2025-05-17
wowwwe app,5,2025-05-17
"transferring to other bank accounts is a hastle and inconvenient .get used to seeing "" please try again """,2,2025-05-17
always lagging,1,2025-05-16
amazing application...,5,2025-05-16
fantastic,5,2025-05-16
"dashen bank app is very good, but sometimes it is not working well",5,2025-05-15
its my choice,5,2025-05-15
wow apo,5,2025-05-15
awesome app keep going,5,2025-05-14
"it grows ethiopian digital banking step ahead.all fetures in one,simple fast and convince.",5,2025-05-14
game changer,5,2025-05-13
totally amazing,5,2025-05-13
super 😎,5,2025-05-13
what a helpful app!!!!,5,2025-05-13
"to be honest, best banking and lifestyle app in ethiopia.",5,2025-05-12
"a must have, seamless, all in one digital platform ""db superapp""! keep living your motto ""always one step ahead""",5,2025-05-12
amazing app super easy to use and best design. loved it.,5,2025-05-09
its the best ever,5,2025-05-09
excellent game changer app,5,2025-05-08
