review_text,rating,review_date
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08
it just doesn't work...so frustrating,1,2025-04-07
like,5,2025-04-06
it's not work correctly... you must have update it,1,2025-04-06
"the app gets a considerable improvements like language , qr scanner and unlimited transfers survice. but boa please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04
good but they don't update enough don't add new things,3,2025-04-04
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01
"after activated the application it not allowed to sign , automatically it is turn off in my phone, why ?",1,2025-03-31
good application,5,2025-03-30
this version is not working for me i cannot even buy card. i cannot send money,1,2025-03-30
"it can't actively on initialization, it says incorrect otp getting the exact otp",1,2025-03-29
always problematic hardly works,1,2025-03-26
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25
"worst app and bank ever u be ashamed, scammer",1,2025-03-24
great boa,5,2025-03-22
best,5,2025-03-21
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21
there is no speed,1,2025-03-19
"for anyone who wants to download it, just don't!!!",1,2025-03-19
wonderful,5,2025-03-19
all worck,5,2025-03-19
loved it,5,2025-03-14
wow,1,2025-03-14
"edit: new bug, app not letting me type in my otp codes. shameful why does this app not allow me to use it while having developer options on? did y'all consider that i might, perhaps, be an actual developer? why am i expected to toggle the option on and off just to bank (restarting my phone when i do)? why is the message labled as somthing that will ""smoothen"" the experience? this is like the most ""security consultant"" thing to implement in an app. please invest in actual security, not this mess.",1,2025-03-12
improved to be the best,5,2025-03-11
"decent, but there problems sometimes it says error when i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self boe dev fix this !!!",3,2025-03-11
boa greqt ethiopian bank.,5,2025-03-11
"the bug is still there,the app crashes every time i try to log in, especially in old phones like my galaxy a32",1,2025-03-10
almost better compared to cbe where it is not qualified for,4,2025-03-09
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09
wonderfull app,5,2025-03-08
i can't use this app why?,5,2025-03-07
